,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1
,ID,"8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
1982,16.516667,-0.403294,0.017530,0.170892,0.898800,-204.356949,94.106400,1160.317993,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.367853,0.036974,0.050884,-0.927754,-142.440582,94.353508,1234.623169,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1983,16.525000,-0.403294,0.017530,0.170892,0.898800,-204.356949,94.106400,1160.317993,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.456582,0.049353,0.053313,-0.886710,-134.122437,93.420578,1235.051147,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1984,16.533333,-0.404322,0.018655,0.166286,0.899180,-204.154663,94.049065,1159.871216,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.522265,0.059706,0.048367,-0.849314,-126.166344,92.522270,1235.607056,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1985,16.541667,-0.403431,0.019196,0.164920,0.899820,-204.158569,94.066460,1159.906250,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.578824,0.067146,0.045475,-0.811410,-118.649498,91.996864,1236.311890,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1986,16.550000,-0.403591,0.019340,0.167068,0.899349,-204.208328,94.163391,1159.953247,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.867560,0.076398,-0.050065,0.488873,-113.171417,89.973671,1235.536011,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1987,16.558333,-0.402949,0.018363,0.163749,0.900267,-204.137924,94.079865,1159.955688,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.504705,0.041367,-0.061126,0.860131,-106.399620,89.836021,1235.826050,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1988,16.566667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163554,-0.266711,-0.947333,0.068371,-205.434830,94.639732,1162.248291,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.462745,0.036409,-0.061244,0.883624,-100.869751,89.207123,1236.381958,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1989,16.575000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.165286,-0.267261,-0.947220,0.063457,-205.047821,94.827209,1162.151611,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.401800,0.027511,-0.061516,0.913245,-95.986000,88.676331,1236.371338,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1990,16.583333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164866,-0.267742,-0.947090,0.064447,-205.123703,94.782532,1162.137207,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.430897,0.029154,-0.060027,0.899930,-91.855736,88.097595,1236.605103,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1991,16.591667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164658,-0.265795,-0.947734,0.063570,-205.141663,94.812599,1162.137451,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.518032,0.035494,-0.061154,0.852434,-88.468803,87.732903,1236.969116,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1992,16.600000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163937,-0.264857,-0.948050,0.064629,-205.163361,94.800865,1162.201172,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.614037,0.043248,-0.061712,0.785672,-85.554245,87.332634,1237.434326,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1993,16.608333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164694,-0.264720,-0.947992,0.064117,-205.202896,94.769508,1162.302490,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.585892,0.038758,-0.060467,0.807200,-83.165405,87.152939,1237.720215,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1994,16.616667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163974,-0.264116,-0.948170,0.065798,-205.249390,94.777000,1162.355347,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.672703,0.044916,-0.059745,0.736127,-80.768990,86.914871,1238.251953,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1995,16.625000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164351,-0.261542,-0.948926,0.064221,-205.263565,94.809097,1162.418823,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.827245,0.059053,-0.059829,0.555517,-79.272278,86.542091,1238.994751,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1996,16.633333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164320,-0.261452,-0.948915,0.064819,-205.268829,94.773773,1162.545898,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.851129,0.058170,-0.055868,0.518724,-77.760849,86.339249,1239.634399,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1997,16.641667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164590,-0.261017,-0.949012,0.064472,-205.265228,94.771072,1162.606812,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.832035,0.054619,-0.056438,0.549135,-76.485611,86.316147,1240.012085,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1998,16.650000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164329,-0.260461,-0.949237,0.064072,-205.256821,94.763062,1162.662720,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.837402,0.053538,-0.056549,0.541012,-75.595695,86.269089,1240.454468,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
1999,16.658333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.164143,-0.260572,-0.949258,0.063782,-205.227905,94.753159,1162.708252,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.866501,0.056258,-0.057962,0.492597,-74.685074,86.095818,1240.857056,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2000,16.666667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163581,-0.260273,-0.949429,0.063897,-205.215485,94.809998,1162.692017,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.876043,0.057120,-0.058798,0.475214,-74.102844,86.130035,1241.033325,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2001,16.675000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163911,-0.258943,-0.949852,0.062153,-205.187225,94.811829,1162.719238,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.837365,0.050766,-0.057535,0.541232,-73.794823,86.527901,1241.112305,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2002,16.683333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163669,-0.260108,-0.949526,0.062897,-205.175140,94.794945,1162.747559,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.840288,0.050571,-0.058304,0.536619,-73.315285,86.444656,1241.218750,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2003,16.691667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163068,-0.258349,-0.950115,0.062827,-205.144501,94.836617,1162.702759,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.839735,0.049580,-0.058462,0.537558,-73.215012,86.551353,1241.321411,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2004,16.700000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163430,-0.258952,-0.949971,0.061555,-205.124130,94.838890,1162.715210,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.841914,0.049842,-0.058126,0.534151,-73.046799,86.557892,1241.272827,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2005,16.708333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162679,-0.259429,-0.949895,0.062699,-205.117691,94.834419,1162.730103,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.842163,0.049433,-0.058370,0.533770,-72.951248,86.533768,1241.339722,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2006,16.716667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162788,-0.258294,-0.950282,0.061228,-205.108307,94.828758,1162.788940,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.843310,0.049069,-0.058814,0.531941,-72.949829,86.520012,1241.495483,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2007,16.725000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162839,-0.256288,-0.950845,0.060775,-205.091156,94.871071,1162.769897,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.847568,0.049302,-0.058833,0.525107,-72.970612,86.534561,1241.585327,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2008,16.733333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162874,-0.255790,-0.950958,0.061008,-205.081177,94.888077,1162.796875,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.843125,0.048794,-0.058681,0.532275,-73.037537,86.552368,1241.639160,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2009,16.741667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162928,-0.255497,-0.951034,0.060910,-205.098984,94.874504,1162.874146,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.843734,0.048558,-0.058948,0.531300,-73.142792,86.535065,1241.771851,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2010,16.750000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163730,-0.253739,-0.951477,0.059169,-205.100296,94.883408,1162.906250,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.847764,0.048977,-0.059253,0.524774,-73.275429,86.504044,1241.892212,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2011,16.758333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163287,-0.254342,-0.951301,0.060616,-205.116669,94.892044,1162.906494,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.847716,0.048892,-0.058869,0.524901,-73.417679,86.544441,1241.857178,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2012,16.766667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162925,-0.255204,-0.951112,0.060929,-205.135925,94.868507,1162.985474,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.857175,0.051424,-0.059431,0.508994,-73.345772,86.282730,1241.775269,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2013,16.775000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163328,-0.254413,-0.951326,0.059812,-205.140381,94.887741,1162.989990,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.842812,0.048282,-0.059009,0.532780,-73.770966,86.552246,1241.880127,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2014,16.783333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162835,-0.254963,-0.951190,0.060956,-205.139481,94.872147,1162.987061,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.843589,0.048246,-0.058812,0.531574,-73.968201,86.568573,1241.851074,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2015,16.791667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162608,-0.253972,-0.951530,0.060398,-205.156845,94.910332,1162.971680,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.866587,0.052921,-0.059616,0.492617,-73.919525,86.265549,1241.723877,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2016,16.800000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162877,-0.254114,-0.951472,0.059981,-205.146820,94.892853,1162.949463,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.840436,0.048216,-0.058222,0.536613,-74.315887,86.580460,1241.713745,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2017,16.808333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162621,-0.254790,-0.951276,0.060918,-205.182098,94.891281,1162.947754,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.839846,0.048054,-0.058176,0.537555,-74.481003,86.574234,1241.716797,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2018,16.816667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162493,-0.254518,-0.951367,0.060971,-205.184906,94.932388,1162.912598,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.840947,0.048388,-0.057837,0.535837,-74.589363,86.597717,1241.620483,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2019,16.825000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162361,-0.253533,-0.951670,0.060695,-205.190887,94.961411,1162.901123,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.843262,0.048865,-0.057437,0.532187,-74.665497,86.620583,1241.516113,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2020,16.833333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162446,-0.253282,-0.951760,0.060100,-205.167130,94.925682,1162.954224,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.840092,0.048785,-0.057441,0.537183,-74.729752,86.570618,1241.495483,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2021,16.841667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162354,-0.252817,-0.951891,0.060230,-205.157578,94.962677,1162.939941,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.875984,0.055057,-0.059209,0.475515,-74.544388,86.178078,1241.492310,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2022,16.850000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162065,-0.253705,-0.951729,0.059842,-205.131439,94.932495,1163.004395,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.875322,0.055121,-0.058605,0.476801,-74.576256,86.165268,1241.400269,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2023,16.858333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162180,-0.252302,-0.952140,0.058921,-205.105804,94.953651,1163.032837,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.841778,0.050148,-0.056891,0.534470,-74.628654,86.319000,1241.314697,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2024,16.866667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162213,-0.252556,-0.952071,0.058850,-205.088028,94.957069,1163.067993,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.870977,0.055189,-0.058441,0.484704,-74.573624,86.034004,1241.338013,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2025,16.875000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162758,-0.252378,-0.952054,0.058377,-205.072037,94.913010,1163.095337,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.871299,0.055303,-0.058104,0.484152,-74.596519,85.982101,1241.274536,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2026,16.883333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162940,-0.252557,-0.952025,0.057573,-205.083328,94.907707,1163.098633,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.872105,0.055733,-0.057597,0.482711,-74.584373,85.966316,1241.159058,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2027,16.891667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163213,-0.252418,-0.951997,0.057862,-205.069824,94.909538,1163.041992,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.839823,0.051084,-0.056158,0.537526,-74.630379,86.167435,1241.045654,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2028,16.900000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162949,-0.252543,-0.951974,0.058440,-205.087326,94.908188,1163.019409,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.862054,0.054698,-0.057003,0.500621,-74.571579,86.001282,1240.975342,-0.092883,-0.087722,0.671500,-0.729908,160.175415,43.678432,1259.259521
2029,16.908333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162463,-0.253141,-0.951867,0.058951,-205.104065,94.935028,1162.983521,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.852274,0.053523,-0.055892,0.517339,-74.544861,86.100510,1240.809448,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2030,16.916667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163177,-0.252742,-0.951908,0.058023,-205.083771,94.925117,1162.965576,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.842926,0.052021,-0.055194,0.532657,-74.695114,86.251900,1240.701904,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2031,16.925000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162891,-0.252650,-0.951965,0.058278,-205.086288,94.943573,1162.940796,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.845680,0.052647,-0.055128,0.528219,-74.712585,86.244011,1240.632202,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2032,16.933333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162761,-0.252812,-0.951956,0.058086,-205.095535,94.963921,1162.896729,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.840310,0.051995,-0.054854,0.536811,-74.741943,86.270920,1240.539551,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2033,16.941667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162942,-0.252466,-0.952058,0.057417,-205.090332,94.982552,1162.895142,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.838537,0.052098,-0.054452,0.539609,-74.771667,86.282097,1240.435303,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2034,16.950000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163388,-0.252355,-0.952026,0.057167,-205.065384,94.988853,1162.880249,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.838318,0.052316,-0.054356,0.539937,-74.767601,86.258728,1240.337402,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2035,16.958333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163217,-0.252830,-0.951893,0.057772,-205.075439,94.981659,1162.840698,-0.059284,-0.459461,0.873160,-0.151568,-1195.744019,596.174622,1167.904907,-0.842466,0.052953,-0.054272,0.533387,-74.795662,86.218788,1240.262451,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2036,16.966667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163470,-0.253314,-0.951748,0.057319,-205.071777,94.967155,1162.816528,-0.059284,-0.459461,0.873160,-0.151567,-1195.744019,596.174622,1167.904907,-0.842276,0.053123,-0.053953,0.533702,-74.808510,86.243187,1240.158081,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2037,16.975000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163295,-0.253090,-0.951808,0.057814,-205.086670,94.952728,1162.779541,0.562764,0.273777,0.270443,-0.731576,992.000610,40.234200,1255.461792,-0.842415,0.053351,-0.053533,0.533502,-74.768616,86.274330,1240.041992,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2038,16.983333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.163220,-0.254474,-0.951485,0.057252,-205.079422,94.932419,1162.786377,0.562764,0.273777,0.270443,-0.731576,992.000610,40.234200,1255.461792,-0.847586,0.054198,-0.053554,0.525160,-74.786179,86.263748,1239.951904,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2039,16.991667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162691,-0.253636,-0.951782,0.057552,-205.088470,94.954872,1162.702759,0.562764,0.273777,0.270443,-0.731576,992.000610,40.234200,1255.461792,-0.849253,0.054322,-0.053340,0.522468,-74.785072,86.300301,1239.883179,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2040,17.000000,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162942,-0.255655,-0.951218,0.057231,-205.056534,94.941803,1162.731079,0.562764,0.273777,0.270443,-0.731576,992.000610,40.234200,1255.461792,-0.850405,0.054515,-0.052943,0.520613,-74.777290,86.346413,1239.773438,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2041,17.008333,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162520,-0.254829,-0.951504,0.057360,-205.049011,94.966843,1162.705933,0.562764,0.273777,0.270443,-0.731576,992.000610,40.234200,1255.461792,-0.851232,0.054770,-0.052897,0.519236,-74.754257,86.328529,1239.713257,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
2042,17.016667,-0.403463,0.019291,0.164161,0.899943,-204.083771,94.097702,1159.888428,0.162507,-0.254577,-0.951587,0.057127,-205.016144,94.975769,1162.664063,0.562764,0.273777,0.270443,-0.731576,992.000610,40.234200,1255.461792,-0.849428,0.054647,-0.052877,0.522197,-74.727219,86.295998,1239.686890,-0.343362,0.527030,0.777213,-0.016781,887.822205,52.137440,1280.373047
