,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Hand,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Forearm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Right Upper Arm,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Stick,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1,Cue Ball 1
,ID,"8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","8BA50CF3153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","9840912E153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A0FA335A153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","A95F0678153111EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD","679D5CA4153311EAFBAD9EE854E475AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
17,0.141667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.652917,0.123647,0.132165,0.735489,457.203522,385.232910,570.177856,0.402303,-0.317386,0.855808,-0.070796,-689.431946,574.157410,896.338135
18,0.150000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.643056,0.125245,0.129782,0.744278,455.252167,385.208252,567.204468,0.399331,-0.315319,0.857519,-0.075960,-691.402222,575.214722,891.666016
19,0.158333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.625067,0.127944,0.128616,0.759196,453.299377,385.284424,564.190552,0.399628,-0.317802,0.857032,-0.069248,-693.954956,575.982971,886.826965
20,0.166667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.608100,0.129598,0.126076,0.772997,451.331696,385.331909,561.268738,0.397392,-0.317474,0.858083,-0.070593,-696.345703,576.812195,881.962646
21,0.175000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.617537,0.128071,0.125757,0.765788,449.371918,385.354919,558.494141,0.390985,-0.319487,0.859897,-0.075076,-698.323914,577.740906,877.251404
22,0.183333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.622026,0.127000,0.126009,0.762284,447.369049,385.452728,555.648010,0.398504,-0.320658,0.857052,-0.061929,-701.327026,578.447876,872.406311
23,0.191667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.610138,0.128245,0.124949,0.771798,445.376709,385.685944,552.760803,0.409336,-0.334299,0.848705,-0.019712,-705.861206,578.232910,867.476807
24,0.200000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.640586,0.123856,0.127433,0.747041,443.310638,385.825012,549.981689,0.419756,-0.333343,0.843694,-0.029450,-707.645447,579.625610,862.454529
25,0.208333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.545320,-0.553494,0.540226,-0.323150,-670.055054,585.179871,921.455872,-0.625553,0.125158,0.124612,0.759928,441.236847,385.975220,547.160034,0.391091,-0.317677,0.861291,-0.065625,-707.509827,580.525574,858.657349
26,0.216667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.541957,-0.550536,0.542924,-0.329283,-702.125610,597.207581,854.468323,-0.645331,0.121605,0.127157,0.743365,439.074371,386.321991,544.227722,0.391091,-0.317677,0.861291,-0.065625,-707.509827,580.525574,858.657349
27,0.225000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.541957,-0.550536,0.542924,-0.329283,-702.125610,597.207581,854.468323,-0.654932,0.120256,0.127589,0.735067,436.930573,386.628326,541.323486,0.391997,-0.314596,0.862091,-0.064551,-711.736267,581.861084,849.596313
28,0.233333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.541957,-0.550536,0.542924,-0.329283,-702.125610,597.207581,854.468323,-0.667887,0.117751,0.127600,0.723726,434.765137,386.906067,538.393311,0.383787,-0.316994,0.864481,-0.069968,-713.659912,582.667419,844.882568
29,0.241667,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.541957,-0.550536,0.542924,-0.329283,-702.125610,597.207581,854.468323,-0.678247,0.115144,0.128671,0.714260,432.497467,387.319580,535.389099,0.412626,-0.332943,0.847551,-0.023380,-718.429321,582.816895,839.637756
30,0.250000,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.539534,-0.511155,0.562391,-0.362410,-708.425232,599.721069,837.792786,-0.709755,0.109698,0.131008,0.683411,430.117706,387.819672,532.319092,0.412626,-0.332943,0.847551,-0.023380,-718.429321,582.816895,839.637756
31,0.258333,-0.408210,0.563026,-0.715170,0.069987,-563.813782,442.488800,992.204224,-0.011633,0.677590,0.667263,0.309025,-137.187500,387.644104,673.920898,0.539534,-0.511155,0.562391,-0.362410,-708.425232,599.721069,837.792786,-0.722232,0.107025,0.131517,0.670545,427.798523,388.319153,529.249268,0.412626,-0.332943,0.847551,-0.023380,-718.429321,582.816895,839.637756
